ts0__FREE	ts1__FREE	ts2__FREE	ts3__FREE	ts4__FREE	ts5__FREE	theta0__FREE	theta1__FREE	y0__FREE	y1__FREE	lambda0__FREE	lambda1__FREE	lambda2__FREE	lambda3__FREE	lambda4__FREE	p0__FREE	p1__FREE	p2__FREE	p3__FREE	p4__FREE	beta__FREE	fD__FREE	r__FREE
1.750061062413359636e+01 5.586253722298513935e+01 6.623588729236141148e+01 5.338592061964187252e+01 6.828339404807424273e+01 1.269185000070437184e+02 4.878655083394380085e+02 5.220197721803911008e+02 1.110282598365908591e+00 2.179305049911155479e+00 7.474472394867500036e+00 4.758836055456329817e+00 5.641299669109029580e+00 3.366389050279502637e+00 9.907887635129981163e+00 4.821063566096444597e-01 4.772493279294062751e-01 4.448842728868808161e-01 3.663645692922312680e-01 2.224837040875316807e-01 4.505251906980312082e-01 9.995427031280926800e-01 6.973638690810230578e+00
1.749230371480028623e+01 5.586951694882475294e+01 6.625525640406014816e+01 5.338457555822193967e+01 6.827465003359273510e+01 1.269202385373599355e+02 4.878782430439565019e+02 5.220225598079423435e+02 1.118877826439867107e+00 2.180288933555242892e+00 7.464132263974954107e+00 4.759783694603659576e+00 5.642089229285939034e+00 3.384086128031965401e+00 9.922923919230315803e+00 4.808388541483861744e-01 4.765115177058667495e-01 4.434682024262470712e-01 3.657346798096011153e-01 2.185511817464539930e-01 4.493299170997095970e-01 9.995361680290990591e-01 6.955231764307324482e+00
1.747822623628918137e+01 5.586770464535348424e+01 6.625372135978606991e+01 5.339760725051169743e+01 6.827719729112628499e+01 1.269271690988355488e+02 4.878745071395179593e+02 5.220276513672311012e+02 1.149383147844017738e+00 2.174199310905676974e+00 7.468481167795737896e+00 4.736003109790400956e+00 5.632610811866793910e+00 3.391457519351040339e+00 9.924314733949849199e+00 4.817743612208203463e-01 4.764666017016083166e-01 4.430693021070476467e-01 3.672369233731411220e-01 2.208807225202296942e-01 4.506912555544733689e-01 9.993341650301076351e-01 6.946111910551271862e+00
1.747674769633510294e+01 5.585100247566175824e+01 6.624726159566831996e+01 5.340176177001489322e+01 6.828524508686264483e+01 1.269398441940486322e+02 4.878787061470349045e+02 5.220128908294209396e+02 1.159984297398277020e+00 2.184515760157365261e+00 7.472732352365920150e+00 4.713119779257927355e+00 5.648520637480889839e+00 3.397170951240505055e+00 9.928525622665500094e+00 4.828652041543505802e-01 4.747101047227236248e-01 4.459619308837652896e-01 3.636068316445408843e-01 2.141398311032532975e-01 4.520063422834397215e-01 9.997009588087906184e-01 6.943446199077956571e+00
1.748190017247607742e+01 5.584341772223695699e+01 6.626269281746415629e+01 5.339433402137903073e+01 6.828399348658480505e+01 1.269385154460711931e+02 4.878841770743368897e+02 5.220099578842817891e+02 1.179613860714407325e+00 2.185578372974139594e+00 7.477819300983505890e+00 4.714788599981946327e+00 5.664395061296831457e+00 3.402064968099668629e+00 9.917221728183189811e+00 4.890898597510205392e-01 4.707323658917384468e-01 4.507000152345294608e-01 3.665488236178790493e-01 2.136843933288375130e-01 4.524218654818546459e-01 9.996436175104183031e-01 6.923069243152094820e+00
1.748781551786665744e+01 5.583478777559272288e+01 6.626369602110401047e+01 5.340196491470234008e+01 6.829510245545625935e+01 1.269359338951866931e+02 4.878985482561907929e+02 5.219827241548533721e+02 1.182520681362870141e+00 2.197618719221057670e+00 7.484696994030226591e+00 4.723274020501162518e+00 5.643626705183288905e+00 3.414654253625347025e+00 9.908239618023076289e+00 4.851486268305751914e-01 4.724707996757741002e-01 4.473698749559184007e-01 3.672029841550576434e-01 2.181185697108635468e-01 4.514985020139972161e-01 9.998051374879503017e-01 6.919040169372272508e+00
1.749955626950199772e+01 5.583401478198764778e+01 6.626715089040588680e+01 5.340078732813642404e+01 6.828968881814319047e+01 1.269319220424205952e+02 4.879018921032634921e+02 5.219688362633590941e+02 1.185160904507012392e+00 2.206200786615684528e+00 7.503370728603078632e+00 4.722394694865946541e+00 5.635465272749197396e+00 3.414515477065153792e+00 9.906640909306755560e+00 4.768517205245226820e-01 4.757663551544797365e-01 4.427761968202812426e-01 3.628893557731265873e-01 2.094491970637762657e-01 4.469389977059088359e-01 9.998655651012166024e-01 6.910195066940175934e+00
1.749298666502762956e+01 5.583021250425908732e+01 6.626585095058921127e+01 5.340785766673143797e+01 6.828529945101401211e+01 1.269289377861150996e+02 4.879030513465465333e+02 5.219683107424888249e+02 1.193283635803105813e+00 2.198820970394816943e+00 7.506376420414346384e+00 4.712991380461650337e+00 5.655336287313803112e+00 3.418955955896482823e+00 9.899372623688895700e+00 4.806932289467962804e-01 4.747434024657604112e-01 4.442094273558094830e-01 3.636290853303724147e-01 2.112671327249660003e-01 4.497965246433670017e-01 9.991683283749728250e-01 6.899439902234084876e+00
1.747940413024846151e+01 5.581547860585969545e+01 6.627310080294080308e+01 5.341332852379819229e+01 6.829253717169051185e+01 1.269413663219280579e+02 4.879076242965346637e+02 5.219573413090064378e+02 1.233333436063977384e+00 2.196439281855471659e+00 7.501317099853531900e+00 4.702372681735174531e+00 5.674908686361619381e+00 3.417805303882310408e+00 9.907921674007260648e+00 4.783867117113778100e-01 4.722180199608601026e-01 4.457150316589655881e-01 3.602171141986250102e-01 2.028399433130304297e-01 4.472813359072387862e-01 9.993708692026598284e-01 6.892181098497246694e+00
1.749813495766732530e+01 5.580185530718636500e+01 6.629237797691088474e+01 5.340950324652687442e+01 6.829526304775923506e+01 1.269344380115286128e+02 4.878900893223005824e+02 5.219469482935644464e+02 1.243299153553130143e+00 2.201213326073668597e+00 7.496019884777116893e+00 4.684698558668205060e+00 5.682588442035855003e+00 3.410633280770476894e+00 9.924895537140864477e+00 4.762065094599696735e-01 4.722713049710902666e-01 4.438167694648383343e-01 3.612878652005206970e-01 2.016360612711974309e-01 4.458062261053664099e-01 9.999372989330579387e-01 6.896893019319732865e+00
