ts0__FREE	ts1__FREE	ts2__FREE	ts3__FREE	ts4__FREE	ts5__FREE	theta0__FREE	theta1__FREE	y0__FREE	y1__FREE	lambda0__FREE	lambda1__FREE	lambda2__FREE	lambda3__FREE	lambda4__FREE	p0__FREE	p1__FREE	p2__FREE	p3__FREE	p4__FREE	beta__FREE	fD__FREE	r__FREE
1.400032384492197046e+01 5.542475783367864750e+01 4.843245847513107805e+01 5.255933899433109247e+01 8.267244802456301045e+01 1.410537741534148495e+02 4.499993984174433876e+02 5.118914676355848314e+02 1.151473108818468205e+00 2.182626811226171082e+00 6.336895022840564273e+00 3.811565654643452206e+00 3.297169478565616263e+00 8.863581097839974277e+00 4.485247604266272781e+00 4.861624075283233481e-01 3.685813105772632325e-01 4.390947344188906865e-01 2.937602929901985682e-01 1.071037681654978674e-01 4.111049408022295903e-01 9.997479396405449803e-01 5.297260479561125557e+00
1.401001351600825906e+01 5.542656292655933470e+01 4.843688021335816529e+01 5.255043175715525194e+01 8.266516925338159183e+01 1.410443822961615297e+02 4.500036196500296910e+02 5.118798156893489590e+02 1.153834549076835581e+00 2.188547679593307649e+00 6.345794079954744760e+00 3.805870916659932046e+00 3.299087669923235211e+00 8.856646244022780223e+00 4.481724870932747073e+00 4.837991086534545460e-01 3.657333373625584749e-01 4.391020609087543658e-01 2.896449996354080181e-01 9.834228523595628380e-02 4.095649353716673824e-01 9.993419457662693350e-01 5.287142021448890006e+00
1.401693920400748006e+01 5.542941441556153848e+01 4.844239693172377770e+01 5.255796169065889245e+01 8.267882940072185249e+01 1.410382436581296872e+02 4.500088043866295493e+02 5.118695865702171091e+02 1.148536460726752084e+00 2.184317818607295347e+00 6.342301545034007226e+00 3.806550199022677106e+00 3.308453855854049941e+00 8.867465296330472313e+00 4.493744358522527627e+00 4.853531650742981540e-01 3.650311066998979115e-01 4.380255537703856561e-01 2.889414871976327959e-01 9.836367504732729250e-02 4.101957362810074725e-01 9.998402762122104992e-01 5.265802913437371835e+00
1.401297337139427235e+01 5.542555512400092965e+01 4.843334773772939172e+01 5.256936909586048046e+01 8.266396284184851595e+01 1.410273824616336924e+02 4.500070356695537157e+02 5.118678931428645456e+02 1.158262657790372741e+00 2.194029130712521258e+00 6.343333196363288629e+00 3.792872602955654315e+00 3.304571981001402925e+00 8.854654368487929972e+00 4.490026120977882229e+00 4.801530904925653820e-01 3.680253197461978432e-01 4.392733448172073119e-01 2.924437715309838315e-01 9.535201250703839726e-02 4.081715912588527728e-01 9.994973024554705265e-01 5.234585628873809071e+00
1.403480232919072357e+01 5.541222775060747807e+01 4.844745333854896074e+01 5.256751642551603254e+01 8.267301957770072818e+01 1.410195989963881686e+02 4.500122285849365653e+02 5.118588461099098481e+02 1.173797834632059889e+00 2.193351168994994715e+00 6.350747397082560752e+00 3.788057767337589254e+00 3.295599038152097204e+00 8.848475331962360357e+00 4.484179449165448972e+00 4.813634609980165791e-01 3.687169155680122823e-01 4.391410535449443708e-01 2.908572988545813920e-01 9.033028318703910375e-02 4.091748774075616990e-01 9.993941127819750969e-01 5.198716175109778348e+00
1.404375662997073171e+01 5.540647251357651015e+01 4.844572802148494617e+01 5.257009140197422425e+01 8.266676991730757607e+01 1.410233570120524007e+02 4.500091267027479489e+02 5.118487929138075287e+02 1.189899385290712042e+00 2.196589905760654382e+00 6.360950152913437350e+00 3.785422506915689933e+00 3.306213465250452899e+00 8.856012764028353246e+00 4.466963643281570029e+00 4.720007295307933060e-01 3.635388705838859535e-01 4.348358434544098983e-01 2.848264926876100112e-01 8.991122702544876444e-02 4.045052962888068260e-01 9.998684707479617018e-01 5.155556067605931325e+00
1.404770654143759856e+01 5.537870560642234352e+01 4.846604606112615699e+01 5.258012678933946660e+01 8.265935750568463902e+01 1.410048655374559985e+02 4.500261226334482103e+02 5.118281417709135326e+02 1.203522685626191802e+00 2.202426825351542661e+00 6.375852597724306570e+00 3.780708876805301433e+00 3.315101562960783177e+00 8.851524969154372258e+00 4.456572554004487152e+00 4.695384313679529797e-01 3.635263184354078358e-01 4.341877024073161340e-01 2.768230453685705528e-01 7.406862355696075539e-02 4.049142587620771505e-01 9.991881465431178277e-01 5.070185266556410220e+00
1.404787002037382848e+01 5.536583870458606071e+01 4.846939992371900274e+01 5.259496864695498886e+01 8.266448703526454267e+01 1.409720770136763406e+02 4.500358534511484550e+02 5.118150399833281199e+02 1.221346618133402950e+00 2.201618115409548881e+00 6.399287468312547134e+00 3.771925767470635016e+00 3.319663278299142206e+00 8.840003168715108828e+00 4.461178088214614590e+00 4.660061398181076231e-01 3.603379821884743484e-01 4.325720998181702415e-01 2.759711473282689953e-01 7.053016755968442852e-02 4.020650176604648185e-01 9.991581077617358586e-01 5.003776044528706279e+00
1.406561567465447915e+01 5.535720342797146998e+01 4.848568292541686020e+01 5.260313274368061798e+01 8.266670182759811780e+01 1.409597340278753848e+02 4.500488558263161281e+02 5.117961545924059124e+02 1.223451817717289725e+00 2.207958023046086016e+00 6.416776705456278762e+00 3.764891068035626009e+00 3.308612225188466205e+00 8.846107974593305556e+00 4.449844698908721696e+00 4.561157418920204210e-01 3.663379464715287304e-01 4.293677052714863773e-01 2.726475659807254814e-01 6.517139819344706930e-02 4.011329201328414085e-01 9.998369716261358287e-01 4.923550622469085702e+00
1.407745949317387257e+01 5.533369835296034722e+01 4.849929808993663727e+01 5.260628596932415491e+01 8.266446420315132571e+01 1.409202702761013484e+02 4.500719528418497930e+02 5.117603356003723434e+02 1.259955906701458073e+00 2.226392333899464226e+00 6.439676656419972112e+00 3.742659951184208911e+00 3.311258943099467444e+00 8.843656998908160816e+00 4.439984935469166061e+00 4.453850111737333028e-01 3.587054726046495223e-01 4.264713593336341702e-01 2.660721407748539158e-01 5.875611360401038902e-02 3.952640148939420839e-01 9.996358898511540358e-01 4.794112187307128181e+00
