# promoter  mean_mRNA  Fano_factor
lacUD5  0.0427095934934  1.20363636364
lacUD5  0.0519512893185  0.872727272727
lacUD5  0.0725633399736  1.38181818182
lacUD5  0.0924282727744  1.24818181818
lacUD5  0.254783799522   3.08090909091
lacUD5  0.284257168824   3.66636363636
lacUD5  0.42545867295    5.00909090909
lacUD5  0.474675697793   5.14909090909
lacUD5  1.27866161999    7.33818181818
lacUD5  1.51991108295    7.52272727273
lacUD5  5.21512097253    6.86727272727
lacUD5  7.1183113663     6.73363636364
lacUD5  7.80567279068    3.99090909091
lacUD5  8.9116536338     3.59
lacUD5  8.9116536338     3.74909090909
lacUD5  9.33200535104    4.51272727273
lacUD5  9.82864716541    4.56363636364
lacUD5  10                5.97
