ts0__FREE	ts1__FREE	ts2__FREE	ts3__FREE	ts4__FREE	ts5__FREE	theta0__FREE	theta1__FREE	y0__FREE	y1__FREE	lambda0__FREE	lambda1__FREE	lambda2__FREE	lambda3__FREE	lambda4__FREE	p0__FREE	p1__FREE	p2__FREE	p3__FREE	p4__FREE	beta__FREE	fD__FREE	r__FREE
1.725642595231113319e+01 4.721548205703488321e+01 6.463114852483843720e+01 3.322167232177907437e+01 8.283320951007986821e+01 1.156375456705700913e+02 4.468200301659489355e+02 5.116686806075940694e+02 1.205454412685615040e+00 1.849937653778896740e+00 5.251628180626881637e-01 9.211231521166167724e+00 5.991508613023376562e+00 1.529474929757596913e+00 1.281235256628972197e+00 5.042885871419011679e-01 4.144703935843224163e-01 4.892056282487243224e-01 3.873793573509092814e-01 3.003607539292603157e-01 4.594967282390654550e-01 9.988920286791334036e-01 3.878716908022231902e+00
1.725565923650331968e+01 4.720754177031471244e+01 6.465410898757576774e+01 3.322425469280236143e+01 8.285816557997549126e+01 1.156650189579093961e+02 4.468141943730659591e+02 5.116581006284098407e+02 1.231583352461741221e+00 1.896829165412318163e+00 5.467573991375153097e-01 9.187889673195646978e+00 5.999460214625072396e+00 1.526508760627874217e+00 1.275005884500428399e+00 5.016322838572152554e-01 4.144060204108918621e-01 4.894357325989425189e-01 3.845656630230471773e-01 2.901430934319910726e-01 4.597665982904481363e-01 9.990481487243102476e-01 3.873253910173030334e+00
1.727589711084297264e+01 4.719371966900946802e+01 6.466139055342536324e+01 3.319934868818165796e+01 8.284202703325790651e+01 1.156695458925348987e+02 4.468244059910309147e+02 5.116483645748445497e+02 1.220295200804748070e+00 1.930613629332838199e+00 5.573255748135471643e-01 9.182048019810590489e+00 6.011538965426634462e+00 1.503854737934774422e+00 1.275972097069878020e+00 4.959222592561986498e-01 4.216114143307233553e-01 4.875502088941111034e-01 3.870080227297643671e-01 2.875086113073058169e-01 4.571881206224979177e-01 9.989497882624426284e-01 3.839436045072173620e+00
1.728848883775103928e+01 4.717782904998137639e+01 6.465936110816751636e+01 3.320179930446275307e+01 8.283469858685596421e+01 1.156852902337176090e+02 4.468194532691364316e+02 5.116462408220843372e+02 1.235479572069258847e+00 1.979931778119228492e+00 5.710080015173251144e-01 9.175470898496152827e+00 6.016382601174924183e+00 1.493347021743891778e+00 1.278912653822519729e+00 4.934130119319093399e-01 4.209752165269370905e-01 4.871427862537268672e-01 3.844420417011912283e-01 2.789138723075878512e-01 4.570263271888252432e-01 9.984892937068623464e-01 3.825357010178779937e+00
1.730816695685707174e+01 4.716858026632860401e+01 6.469464928446068086e+01 3.316660933000285638e+01 8.281410845696377976e+01 1.157142990053493321e+02 4.468091888433946792e+02 5.116381534154698443e+02 1.242751562613211513e+00 2.086570403066606350e+00 6.033537521683159932e-01 9.155503115566391514e+00 6.035149901439144315e+00 1.473760825564380816e+00 1.275826050146088297e+00 4.977316663623848614e-01 4.238263665593908769e-01 4.907152888824227177e-01 3.877150497660139528e-01 2.794457176990856051e-01 4.628276815391882404e-01 9.999622997572094052e-01 3.774329050729910318e+00
1.732986443026096879e+01 4.711053368806012998e+01 6.474123653988033311e+01 3.315375586173958311e+01 8.280747693164703094e+01 1.157654684011271371e+02 4.467920294574643094e+02 5.116323016124311494e+02 1.267761839329423434e+00 2.217888838125949835e+00 6.387539912241735340e-01 9.112150762334055187e+00 6.064201472535187598e+00 1.419348770622731237e+00 1.276133558492970721e+00 4.913912742656612043e-01 4.224089810677714163e-01 4.893391464033360894e-01 3.842675783630111752e-01 2.645719164628316800e-01 4.608918202533006658e-01 9.997964966564324429e-01 3.717926601941339282e+00
1.737377089436725797e+01 4.704582596563613350e+01 6.478409617253073804e+01 3.310418906256120408e+01 8.281200843503037845e+01 1.158112026754974124e+02 4.467685007246356577e+02 5.116146394809634330e+02 1.312758800809717075e+00 2.416424330771303364e+00 6.908816992980473248e-01 9.068188543024181314e+00 6.105337221734745690e+00 1.375391096656171319e+00 1.285422734448949056e+00 4.887349693607372925e-01 4.142376618379788877e-01 4.885037968901807526e-01 3.801362741312069859e-01 2.460875519122284749e-01 4.608390793488092996e-01 9.994620423238255169e-01 3.633316101502182871e+00
1.739044295216474012e+01 4.702850781046194584e+01 6.478312808879428530e+01 3.309423701107947124e+01 8.279675345715628509e+01 1.158232539235611824e+02 4.467713235270851442e+02 5.116105793855928141e+02 1.332368048401907590e+00 2.443972609155274700e+00 6.947812517550738809e-01 9.061291647376899405e+00 6.115092404784938651e+00 1.373555414377006567e+00 1.286343035544621261e+00 4.817619440256697971e-01 4.128387653094374166e-01 4.849302139965601111e-01 3.768824821820286886e-01 2.347045521654986810e-01 4.557883971969760584e-01 9.980194298805463715e-01 3.588905743615830701e+00
1.740955342592814148e+01 4.701109772444244328e+01 6.480188801319586389e+01 3.309310773540514106e+01 8.278288406246782927e+01 1.158141207793452878e+02 4.467571680218326264e+02 5.116050805097908665e+02 1.350182635293007971e+00 2.474564145334645637e+00 7.072575226045649810e-01 9.043969956612750494e+00 6.137667289354142852e+00 1.347322387129213928e+00 1.282428238920284125e+00 4.668075566953592270e-01 4.182623541365289022e-01 4.805841638130081139e-01 3.728362313857042087e-01 2.296473249664414129e-01 4.492239502821389063e-01 9.984817233453112673e-01 3.556862581818881264e+00
1.742649729360620725e+01 4.701987643831840558e+01 6.477491653141616723e+01 3.308391969090733653e+01 8.277956426548027480e+01 1.158138930826780637e+02 4.467569897457725574e+02 5.116301951746787608e+02 1.365586894877640178e+00 2.430710911842717259e+00 6.745426326523696892e-01 9.030323094022863373e+00 6.125609574492113296e+00 1.355759205522745869e+00 1.278271186049614094e+00 4.680506988391899270e-01 4.153062226792715861e-01 4.790965065323410932e-01 3.691085453013517870e-01 2.203506599537167210e-01 4.482840988998200160e-01 9.982415412464518134e-01 3.568947747736004761e+00
