ts0__FREE	ts1__FREE	ts2__FREE	ts3__FREE	ts4__FREE	ts5__FREE	theta0__FREE	theta1__FREE	y0__FREE	y1__FREE	lambda0__FREE	lambda1__FREE	lambda2__FREE	lambda3__FREE	lambda4__FREE	p0__FREE	p1__FREE	p2__FREE	p3__FREE	p4__FREE	beta__FREE	fD__FREE	r__FREE
8.727152712207470131e+00 5.871477118435861087e+01 7.932894782339744211e+01 6.191940108018927447e+01 7.422287670051181863e+01 1.068592107243763110e+02 4.865884808857018129e+02 5.236797181006546680e+02 1.474676781782846779e+00 2.394832129693267309e+00 2.669211252843203042e+00 2.059314463511225046e+00 1.093104535780474451e-01 2.925584284536120627e+00 6.402109579184018351e+00 4.845140637812712647e-01 4.235177014196753742e-01 4.833585620454551868e-01 3.153945325071786931e-01 1.570311238504267237e-01 4.199966887638327817e-01 9.993795558785999456e-01 1.472319036481835397e+01
8.731988033137653815e+00 5.872053342603889803e+01 7.932645609819216759e+01 6.191449735984067360e+01 7.422450500030041098e+01 1.068524569878573942e+02 4.866011946572426723e+02 5.236781863312950236e+02 1.493245501913442075e+00 2.402299207702697004e+00 2.672372220164737744e+00 2.054634925497361930e+00 1.228019222849163483e-01 2.924368557720095296e+00 6.398562649714667039e+00 4.845728338578415006e-01 4.223917552936989339e-01 4.815349170193113371e-01 3.165993737740805947e-01 1.575752387710243618e-01 4.189063992303232453e-01 9.999365481914841425e-01 1.472963339262003224e+01
8.738913293680313998e+00 5.872194267465701500e+01 7.932576484797344563e+01 6.191485638547501225e+01 7.422430304534938728e+01 1.068527383811640306e+02 4.866032000557301558e+02 5.236762180475562900e+02 1.507158234587527401e+00 2.397657726443510828e+00 2.673652207419539018e+00 2.050122562603355902e+00 1.235113743756611066e-01 2.923760903636241526e+00 6.398485950345373041e+00 4.876289695638465482e-01 4.243560052269144123e-01 4.796216068600396287e-01 3.174012484887952512e-01 1.602238113227164307e-01 4.208400639686754041e-01 9.999264508203434820e-01 1.473255005225585279e+01
8.731760019858608501e+00 5.871766531634239783e+01 7.932505886064097922e+01 6.191305186745199762e+01 7.422679085046632963e+01 1.068466550019105341e+02 4.866043090580505464e+02 5.236794080730983296e+02 1.519161620283269842e+00 2.395876138973331848e+00 2.673817787820549352e+00 2.051498374540055458e+00 1.269106089473144017e-01 2.931022426032088735e+00 6.395911428047084790e+00 4.857601043417406061e-01 4.212542657395988988e-01 4.781007032609967400e-01 3.154303657531453697e-01 1.593902795712515419e-01 4.208236570643230090e-01 9.995305775491275524e-01 1.473794315046309222e+01
8.737415779516313208e+00 5.871759289484704425e+01 7.932184120259741178e+01 6.191300385222086078e+01 7.422151504061771732e+01 1.068454786768171658e+02 4.866021436566350644e+02 5.236791816034680096e+02 1.537879795186452014e+00 2.406510021190372051e+00 2.672985351528300857e+00 2.045266879268800686e+00 1.274168979546097813e-01 2.925516934972720584e+00 6.393445018428432824e+00 4.868621997093850462e-01 4.226206163017128814e-01 4.765734135541730421e-01 3.168928738741355056e-01 1.558500756164108714e-01 4.210495869510485489e-01 9.999054346267987059e-01 1.474201676064100575e+01
8.734240338419445138e+00 5.870582474159932218e+01 7.932572829995261543e+01 6.191222889268026819e+01 7.422737160099350717e+01 1.068321957175918158e+02 4.865994043611632378e+02 5.236952114226492085e+02 1.546956712706223591e+00 2.415777857232930703e+00 2.674709753932143830e+00 2.035126082318655882e+00 1.339156457977885573e-01 2.922492758436655347e+00 6.392457127284488116e+00 4.859363038851749472e-01 4.208011075930545020e-01 4.755002755829761396e-01 3.151404801600727890e-01 1.526360112200970121e-01 4.205842041160181566e-01 9.996991039314623295e-01 1.474611754053708879e+01
8.733695804631134152e+00 5.870942807382763817e+01 7.933587019929230166e+01 6.191423807810807034e+01 7.423305789317448955e+01 1.068360752697500686e+02 4.866099674204488110e+02 5.236884061195237337e+02 1.562263566221469224e+00 2.414009990709915510e+00 2.673763433552959867e+00 2.033637450226958965e+00 1.312299294502220492e-01 2.924995060010437076e+00 6.384014142429713878e+00 4.845476176635661880e-01 4.229254405422274155e-01 4.726889124333257253e-01 3.125345061909394206e-01 1.474701769318352285e-01 4.212212808908951667e-01 9.996959128182927312e-01 1.473826116271240139e+01
8.726246850350053208e+00 5.871260206098695278e+01 7.933347315118767540e+01 6.191460378533761855e+01 7.424121821628668272e+01 1.068292237208148237e+02 4.866168624503196725e+02 5.236941557613355371e+02 1.579856123408937218e+00 2.418525963252855959e+00 2.669971956178299521e+00 2.026626111935954544e+00 1.368691426451270898e-01 2.921533230911712131e+00 6.389460014207445582e+00 4.877573532799661105e-01 4.196524785934980795e-01 4.725778945025185251e-01 3.128166887921978168e-01 1.472420039859168861e-01 4.223772627379440148e-01 9.998244375429345965e-01 1.474030305922194373e+01
8.736004318229372956e+00 5.872298156122655399e+01 7.933787044046560766e+01 6.191419046674738524e+01 7.423764107541678925e+01 1.068138629513636459e+02 4.866152933044419910e+02 5.237045847132575318e+02 1.618335325195442209e+00 2.423157857376947000e+00 2.675048710805302488e+00 2.019704060005416579e+00 1.471863657490441180e-01 2.928334736027637941e+00 6.382771843390183442e+00 4.863538776936804364e-01 4.190474832885237033e-01 4.704099670793420729e-01 3.124761132659526486e-01 1.474988665937773669e-01 4.214519025266200702e-01 9.997194260685364764e-01 1.473703096610779895e+01
8.738714296456153718e+00 5.873408212710449305e+01 7.934122178958679683e+01 6.191952778432965232e+01 7.424652640923412150e+01 1.068171484896931815e+02 4.866198570739204001e+02 5.237122697278816759e+02 1.653493253480556646e+00 2.438905062198513107e+00 2.674071392448694073e+00 2.014298851072702679e+00 1.511288696984518787e-01 2.928509346546474656e+00 6.378438902880918526e+00 4.849202935741936393e-01 4.227267357909400558e-01 4.634293625960576590e-01 3.116440792066594301e-01 1.354408330277909189e-01 4.210351945648673766e-01 9.998183569505570967e-01 1.474109306797538999e+01
