ts0__FREE	ts1__FREE	ts2__FREE	ts3__FREE	ts4__FREE	ts5__FREE	theta0__FREE	theta1__FREE	y0__FREE	y1__FREE	lambda0__FREE	lambda1__FREE	lambda2__FREE	lambda3__FREE	lambda4__FREE	p0__FREE	p1__FREE	p2__FREE	p3__FREE	p4__FREE	beta__FREE	fD__FREE	r__FREE
7.851845579708207623e+00 5.056357889815740947e+01 8.214049359879986412e+01 3.340404916601007557e+01 9.720672247159809842e+01 1.396802866862926749e+02 4.458272534085110692e+02 5.091761082880547633e+02 1.119859193046390811e+00 2.346077041087197834e+00 6.906840277538816686e+00 2.009549035008095785e+00 1.100462998098187928e+00 3.887390122822675931e+00 3.192514517849815103e+00 3.840070458115541485e-01 3.247729980892608559e-01 4.029476340362856956e-01 2.327693837291310019e-01 5.475624660364907664e-02 3.531132970861792231e-01 9.989887570164681652e-01 6.730723531118041336e+00
7.822962542809778874e+00 5.055963496066328133e+01 8.214688555276165971e+01 3.341627173089369052e+01 9.721351669070331525e+01 1.396885636363913363e+02 4.458299245215209794e+02 5.091776716415309920e+02 1.114511531909142983e+00 2.345940049358095081e+00 6.906956244681849100e+00 2.012045262050278449e+00 1.109452355952946112e+00 3.886843096834665889e+00 3.182587959503450303e+00 3.903955863599274934e-01 3.192932945264432276e-01 4.052768141954280479e-01 2.357298162915694162e-01 5.007193207824804648e-02 3.543828594488602768e-01 9.939121545369519195e-01 6.700724571683716491e+00
7.802371417742882898e+00 5.056894714576564098e+01 8.213622757279104292e+01 3.341931759624019094e+01 9.722338664733347002e+01 1.396835010013022327e+02 4.458235447809474863e+02 5.091626718866664305e+02 1.106497792406909042e+00 2.327559163141677434e+00 6.904002497165096841e+00 2.003720313858414759e+00 1.097660549149332088e+00 3.894243038243514032e+00 3.176756408268778031e+00 3.915810045955031571e-01 3.161026005175364695e-01 4.041038032361983778e-01 2.342481357652406448e-01 5.901609915875228457e-02 3.555199203354998394e-01 9.991811794236923339e-01 6.698961985418362630e+00
7.789686953409762360e+00 5.056903050812628919e+01 8.214499569350276431e+01 3.339828117652949402e+01 9.722118917507764024e+01 1.397062982910579194e+02 4.458459896728967919e+02 5.091520323060065039e+02 1.097218014105196371e+00 2.341906049368622345e+00 6.902201823644996459e+00 2.009782022657419454e+00 1.082577387534849445e+00 3.877815790108444904e+00 3.191541879787773262e+00 3.850351868627789331e-01 3.188751787366628232e-01 4.017208630418429571e-01 2.325481881956283081e-01 5.007249883780662963e-02 3.521587036041134433e-01 9.970636014572661354e-01 6.696773984247345268e+00
7.795998563032661366e+00 5.057354328076220895e+01 8.214789358284049570e+01 3.340894242994549046e+01 9.721410790252527079e+01 1.397163673197990761e+02 4.458302002137322120e+02 5.091523184988250819e+02 1.107695985572620279e+00 2.341733150549919262e+00 6.927244299065959510e+00 1.993799671308548405e+00 1.053876588225374222e+00 3.873839908394931530e+00 3.184562135160715624e+00 3.835494199695937967e-01 3.176651703757242262e-01 3.990496834515041558e-01 2.309837634320608124e-01 5.589520125181416527e-02 3.520441308410112713e-01 9.984017924738498584e-01 6.689972168768281158e+00
7.780084993000405014e+00 5.057911411984849082e+01 8.216216259930446597e+01 3.341432643439330263e+01 9.722566633170799832e+01 1.397241396998753089e+02 4.458069007001001864e+02 5.091360780140220754e+02 1.108735833747993338e+00 2.323119255739897859e+00 6.949330549155384062e+00 1.992058233164101688e+00 1.041877785007675916e+00 3.867454641529286086e+00 3.165039532967126590e+00 3.857155465284020091e-01 3.254996924101324351e-01 4.020011530922319443e-01 2.400501670084378425e-01 7.986825933941843481e-02 3.527922577608371135e-01 9.988693549009644013e-01 6.684316358897926413e+00
7.769311683209120467e+00 5.059270713305244271e+01 8.213405352905643042e+01 3.342204104406404497e+01 9.722293775654819115e+01 1.397459774383056867e+02 4.457995853106135087e+02 5.091237877559030380e+02 1.110389244815108034e+00 2.316705818939889472e+00 6.959203639928552398e+00 1.978151551850966028e+00 1.047599404070108875e+00 3.870270636026174937e+00 3.152820222658580196e+00 3.824936139103853328e-01 3.234077031075262565e-01 3.968386338505360822e-01 2.325194338056187082e-01 6.447982099772861520e-02 3.519118955305299834e-01 9.967133328167452344e-01 6.674189971700167590e+00
7.759956797066829282e+00 5.059697684276883223e+01 8.215672922676988321e+01 3.342999328796230429e+01 9.721557378203050348e+01 1.397486439166542880e+02 4.457935783364168287e+02 5.091112510924752428e+02 1.100942994293220067e+00 2.340378947289907696e+00 6.967014442422311049e+00 1.978484239453731419e+00 1.040616083841566342e+00 3.864875997451704848e+00 3.153971863513555629e+00 3.818096519107296860e-01 3.263988532237785400e-01 3.989945040598335546e-01 2.279723054575699404e-01 4.241650901313395033e-02 3.527002313012888024e-01 9.995430747510807290e-01 6.666544377185515735e+00
7.730751759278764013e+00 5.058762812426903821e+01 8.215981876244917714e+01 3.344036182385084288e+01 9.721438621607326525e+01 1.397489982760477290e+02 4.458045338943235834e+02 5.091067272727423187e+02 1.078680096641645658e+00 2.358261705023073418e+00 6.967566904844856523e+00 1.964304076022025614e+00 1.038467162683439859e+00 3.857580506777813500e+00 3.150581746797501026e+00 3.850311059363669686e-01 3.213091912766994906e-01 4.003414201203889244e-01 2.296101291540338096e-01 4.077850058525643584e-02 3.531749527051368243e-01 9.951660032028895042e-01 6.662084665330393562e+00
7.708650938112175055e+00 5.059781123538282088e+01 8.217404147576844764e+01 3.344279731711084480e+01 9.723695425531015246e+01 1.397703452205671226e+02 4.458185097611915353e+02 5.090930282313022417e+02 1.094044957580634803e+00 2.356567013338648042e+00 6.977252377629074687e+00 1.956394620281546315e+00 1.016264464214280183e+00 3.855916823243093372e+00 3.154239565472092721e+00 3.808612429669889776e-01 3.304895089919618334e-01 3.989817219816220173e-01 2.352784350853947271e-01 6.900887445035457091e-02 3.520282518876473588e-01 9.986938944106124039e-01 6.665673465947076437e+00
