ts0__FREE	ts1__FREE	ts2__FREE	ts3__FREE	ts4__FREE	ts5__FREE	theta0__FREE	theta1__FREE	y0__FREE	y1__FREE	lambda0__FREE	lambda1__FREE	lambda2__FREE	lambda3__FREE	lambda4__FREE	p0__FREE	p1__FREE	p2__FREE	p3__FREE	p4__FREE	beta__FREE	fD__FREE	r__FREE
1.676489847222956442e+01 5.592779463028108466e+01 7.458123842587502850e+01 3.129591951239000736e+01 7.263098606051548245e+01 1.372088330985148446e+02 4.805047936097203092e+02 5.271072234844607465e+02 1.178119631082763075e+00 2.012072326914140064e+00 2.057084768826903165e+00 9.297814233724359390e-02 3.701648421226094499e+00 9.597362258666723989e+00 1.029000046986566996e+00 4.802223163431658670e-01 6.138312157023311233e-01 4.516125786432017564e-01 3.512569095135512076e-01 1.920471557161629872e-01 4.505688189880865391e-01 9.993067373963272493e-01 5.880865582651216172e+00
1.675815330461651342e+01 5.591358548841643028e+01 7.456914115397728438e+01 3.130083665383620328e+01 7.262308615233889952e+01 1.372073086494992253e+02 4.805112326028789198e+02 5.271131767874305751e+02 1.194777671569006383e+00 2.020046510147925911e+00 2.059653289542236365e+00 9.846424070634703096e-02 3.710453299519154591e+00 9.596033057144254030e+00 1.036713618172469431e+00 4.862430115006666220e-01 6.110016676710292582e-01 4.537764814629713928e-01 3.551038454297009150e-01 2.014578345211198718e-01 4.556113300211105388e-01 9.987937374069016938e-01 5.859105754654629017e+00
1.675118216183194519e+01 5.592030755132743280e+01 7.456946769714542711e+01 3.133161682501686229e+01 7.261712210346495056e+01 1.372040635563705280e+02 4.805148509899160558e+02 5.271278570253915632e+02 1.210690026946338538e+00 2.033976590334605650e+00 2.081679839804783771e+00 9.872836829773108669e-02 3.681875712258505295e+00 9.588996529257268975e+00 1.044636653217503985e+00 4.829088752035663457e-01 6.096066335940699688e-01 4.524948727266118742e-01 3.537353795168872717e-01 1.932274131235592052e-01 4.524997423481815217e-01 9.998684446611768584e-01 5.846378685820567078e+00
1.675837719010701932e+01 5.591061907968698108e+01 7.456065775306736043e+01 3.133718206641651705e+01 7.260829487495854551e+01 1.372068647101951626e+02 4.805134583396713310e+02 5.271293059408272939e+02 1.221210614420146889e+00 2.062459087350406950e+00 2.075525801300016404e+00 9.907811457886657458e-02 3.691114258895647815e+00 9.574609837440091198e+00 1.037133059534486090e+00 4.764086800125910681e-01 6.165349472220502669e-01 4.493746564235193697e-01 3.496383676380637184e-01 1.873402422020660762e-01 4.496625397374694466e-01 9.998203547438085925e-01 5.834616596248308085e+00
1.676702852900013241e+01 5.591497346469893870e+01 7.455263513523587449e+01 3.134578875157283662e+01 7.262133485176308056e+01 1.371995895212366179e+02 4.805150563914696136e+02 5.271311774874710636e+02 1.238426132116300371e+00 2.070852151283908427e+00 2.076264631281186546e+00 9.215666909265762818e-02 3.679787456983633742e+00 9.580639025433372424e+00 1.042139489763706628e+00 4.759200664741741749e-01 6.231285181972731069e-01 4.494125117931258018e-01 3.488764518053192321e-01 1.815297464475152667e-01 4.484116233348160452e-01 9.997116242143390119e-01 5.802798824284775669e+00
1.677869027878137942e+01 5.591921682313919462e+01 7.455137420180777497e+01 3.134417029891323381e+01 7.263456548113543931e+01 1.371906991840538126e+02 4.805136252142019657e+02 5.271232136090998210e+02 1.248519280777151019e+00 2.081694645512137676e+00 2.087528747195761092e+00 9.069281853646316005e-02 3.690016238820860384e+00 9.580530315020503451e+00 1.042273712199441871e+00 4.821488798912565432e-01 6.232337418743145729e-01 4.523774418674778031e-01 3.518850746389763362e-01 1.801321494529382061e-01 4.526038725659161099e-01 9.992410257659246620e-01 5.781955644350576407e+00
1.677487660820978022e+01 5.592128745501024412e+01 7.454139446046060868e+01 3.136604682514397169e+01 7.260928458551116194e+01 1.371755434801279989e+02 4.805106610972580370e+02 5.271376646459053745e+02 1.280556436992958291e+00 2.115894611154847560e+00 2.093129577687407927e+00 8.665207473028149754e-02 3.690157903484550417e+00 9.582821221310151572e+00 1.039289300047369080e+00 4.758336576112913163e-01 6.329753319851929572e-01 4.505254555805596195e-01 3.482958157084420359e-01 1.731828359578207743e-01 4.485700784824633303e-01 9.999457502771555983e-01 5.754584548325031967e+00
1.679238907260092617e+01 5.593341591375641286e+01 7.454990398621347936e+01 3.140264419481003699e+01 7.262178064138848299e+01 1.371508709652308085e+02 4.805165743599231405e+02 5.271297084881495039e+02 1.325289594951794880e+00 2.149471347466526350e+00 2.097848461983645940e+00 7.714742566284021885e-02 3.689878099281681312e+00 9.584720646486539763e+00 1.039710093234397448e+00 4.789503028778902549e-01 6.311647241558767663e-01 4.521544585734405541e-01 3.464238763869209037e-01 1.703886202478429313e-01 4.507328258556895784e-01 9.990384473290966350e-01 5.689081675212353417e+00
1.680829418481486925e+01 5.592732984299752275e+01 7.452938343830058443e+01 3.144252590724023833e+01 7.261175793554569680e+01 1.371652449300784724e+02 4.805477971882258430e+02 5.271484976668573381e+02 1.390550383098723808e+00 2.208050498203121492e+00 2.123934381716842346e+00 6.910671681321911564e-02 3.699292546645653879e+00 9.571122481245364355e+00 1.055322104180944409e+00 4.705376065912980077e-01 6.493536063307943085e-01 4.505905037155875092e-01 3.389579186742185946e-01 1.481662082075264342e-01 4.461461227572018906e-01 9.998930452918712852e-01 5.592058086799361227e+00
1.682737747165854358e+01 5.593398228822405116e+01 7.450124127933179352e+01 3.149235544793771524e+01 7.260524155331650320e+01 1.371524759497426658e+02 4.805548434967141134e+02 5.271492553179791685e+02 1.464274393541833863e+00 2.274762301632657913e+00 2.154120744492078465e+00 6.550999700721513164e-02 3.689444902093958589e+00 9.555739105004455780e+00 1.063390408932810560e+00 4.745500355632666367e-01 6.588457113502524942e-01 4.519841899320814482e-01 3.409704993748176038e-01 1.391220724070546255e-01 4.491201428315296229e-01 9.993295179520911287e-01 5.485848611551925380e+00
