ts0__FREE	ts1__FREE	ts2__FREE	ts3__FREE	ts4__FREE	ts5__FREE	theta0__FREE	theta1__FREE	y0__FREE	y1__FREE	lambda0__FREE	lambda1__FREE	lambda2__FREE	lambda3__FREE	lambda4__FREE	p0__FREE	p1__FREE	p2__FREE	p3__FREE	p4__FREE	beta__FREE	fD__FREE	r__FREE
1.365732370484643798e+00 6.790753144330891189e+01 6.742748238964517782e+01 4.320644372057716254e+01 8.650797523195822691e+01 1.236517617310362027e+02 4.597407899188631291e+02 5.127555485553241397e+02 1.341394407724989746e+00 2.181257594872236361e+00 6.983940190992498742e+00 1.614375789747033663e+00 2.490939138357588511e+00 1.940546475817515049e+00 1.923445750039610991e-01 3.353334551948516928e-01 2.970175216029758980e-01 3.186069265446376808e-01 1.511873251112510474e-01 1.374667390369143088e-04 3.030704724601036015e-01 9.995321292485250808e-01 6.081323132336473591e+00
1.371465650861668939e+00 6.791154949725176948e+01 6.743211936058902722e+01 4.320100073593153667e+01 8.650718952078142365e+01 1.236506536131785055e+02 4.597412852571502526e+02 5.127521549302416588e+02 1.356978294678695685e+00 2.197885545532720197e+00 6.979311102222967023e+00 1.608058230457794391e+00 2.497567125291660695e+00 1.950952091216930473e+00 1.937078792021785512e-01 3.333908293364341024e-01 3.012898424842919698e-01 3.151477522171831636e-01 1.513768062291625527e-01 5.481721595291741411e-05 3.033326332936437386e-01 9.999973594900219975e-01 6.079452499420008316e+00
1.360977713880677342e+00 6.790941186510306693e+01 6.743187833524405050e+01 4.319855240351436265e+01 8.651023523153625661e+01 1.236485379680585766e+02 4.597387820686192299e+02 5.127483824517194080e+02 1.358415241707039200e+00 2.208921669544665178e+00 6.972919493157681003e+00 1.602953535690895270e+00 2.502110144567367911e+00 1.955765896396956416e+00 1.935345596724067085e-01 3.299266977631258868e-01 2.979058661788441253e-01 3.133437451666004070e-01 1.476779649754303980e-01 1.948556318319521292e-03 3.023430720853247378e-01 9.994381432598570258e-01 6.078650475181638591e+00
1.357020826085369114e+00 6.792382593275281977e+01 6.743675148116741980e+01 4.319012019649631640e+01 8.649944164939959990e+01 1.236531864776612224e+02 4.597318511471729039e+02 5.127352511203702079e+02 1.361419834803069051e+00 2.238154415829801902e+00 6.958379727777997736e+00 1.594899038793204271e+00 2.515752198451660426e+00 1.955946640685122029e+00 2.025323170632409298e-01 3.327095695511564366e-01 3.016675675424864700e-01 3.154373045691372668e-01 1.509999535869119835e-01 3.377964900229525700e-04 3.027943230760001825e-01 9.999733628351625825e-01 6.066674459766066896e+00
1.355168680762901312e+00 6.793274604741601763e+01 6.743635913564428108e+01 4.319958200243715396e+01 8.648858105974994714e+01 1.236440058618710367e+02 4.597287358146119232e+02 5.127317959041345148e+02 1.358891125563400637e+00 2.249049201772878703e+00 6.952593131299957818e+00 1.587967822635031556e+00 2.527476471898148613e+00 1.955696451270878988e+00 1.896408910033618445e-01 3.329086069934565351e-01 3.018561206593223245e-01 3.149145908228925816e-01 1.515553469029309042e-01 2.763226814500459403e-03 3.028429338416681049e-01 9.997951777236614435e-01 6.049411734049082057e+00
1.355014056480661866e+00 6.792717835116255287e+01 6.744374125836101541e+01 4.319479267836587866e+01 8.648667097556275962e+01 1.236495752383073352e+02 4.597303996233260364e+02 5.127169884679644838e+02 1.362313064908889926e+00 2.249795951323419807e+00 6.944314007235323771e+00 1.593747370227112992e+00 2.525693405824104509e+00 1.950749460558353743e+00 1.920981909135442145e-01 3.364226117602185928e-01 2.958395231994371821e-01 3.171489070578380476e-01 1.502896994273077436e-01 3.705779033294314111e-04 3.032689955817229888e-01 9.998148387782562763e-01 6.019769534090997354e+00
1.352827638032995328e+00 6.792529490153002314e+01 6.743654574865850293e+01 4.320007330525550771e+01 8.647647921950938610e+01 1.236416990322018705e+02 4.597231074934169897e+02 5.127097465233308640e+02 1.363004646365044703e+00 2.265168838260532169e+00 6.946029710132945567e+00 1.594413977212938205e+00 2.537546845696273756e+00 1.949039314475679241e+00 1.863558129229759275e-01 3.401591486933608355e-01 2.931260364541655727e-01 3.215871157053867280e-01 1.492192223225120296e-01 8.075903435501408751e-04 3.041692930822859631e-01 9.999164776888409545e-01 6.011800810596675149e+00
1.352607982981234747e+00 6.791739700905890231e+01 6.743941704068646459e+01 4.319836897311049029e+01 8.647646562206513465e+01 1.236438378335586350e+02 4.597316778578506273e+02 5.127225401028219949e+02 1.356703422196048114e+00 2.281799123670367635e+00 6.948801179808661743e+00 1.592561940914818841e+00 2.552305154558994094e+00 1.963799792393880805e+00 1.936659982761090026e-01 3.324355566163993414e-01 2.944768472813058535e-01 3.186743787798272942e-01 1.482139612784235116e-01 2.279814655017823417e-04 3.017655777827119579e-01 9.995855936338740033e-01 6.015149416082719469e+00
1.342222250862848743e+00 6.791017734629636493e+01 6.744281543595174355e+01 4.320805224033118463e+01 8.646574984745291204e+01 1.236285962567802414e+02 4.597243773481667404e+02 5.127203704207460078e+02 1.372230138982149183e+00 2.288748461013263569e+00 6.947694741167501853e+00 1.595804077637407392e+00 2.563205023507958202e+00 1.971012099690078623e+00 2.071564316611625434e-01 3.321049129852948201e-01 2.960141577639315291e-01 3.160972807915685689e-01 1.462972378533334006e-01 9.839184742980746322e-04 3.026581511891099918e-01 9.993523606744190158e-01 5.980796914080294790e+00
1.331356977072720271e+00 6.791284156108139314e+01 6.744412428707148877e+01 4.320379741088679282e+01 8.645915187628710896e+01 1.236208065184600571e+02 4.597294187125600047e+02 5.127208801697099716e+02 1.381994937732598849e+00 2.289826219565120446e+00 6.950269111393608590e+00 1.596543680890745387e+00 2.558161928014023978e+00 1.974985009326487795e+00 2.001873308544435126e-01 3.285820383637133024e-01 2.967327395271729951e-01 3.147108290043151291e-01 1.456758199463032144e-01 1.806135485631034029e-03 3.017324509230491780e-01 9.998683934030963005e-01 5.975107555206088605e+00
