ts0__FREE	ts1__FREE	ts2__FREE	ts3__FREE	ts4__FREE	ts5__FREE	theta0__FREE	theta1__FREE	y0__FREE	y1__FREE	lambda0__FREE	lambda1__FREE	lambda2__FREE	lambda3__FREE	lambda4__FREE	p0__FREE	p1__FREE	p2__FREE	p3__FREE	p4__FREE	beta__FREE	fD__FREE	r__FREE
1.055196599677100977e+01 6.635852666265975586e+01 8.530484565793969409e+01 4.770151075761635440e+01 6.160248014519650184e+01 1.237317661292932485e+02 4.741483204669987117e+02 5.204591834221927229e+02 1.227108415821791310e+00 2.128960364357295187e+00 7.763689164800929632e+00 9.135195135421906087e+00 3.252377764909291979e+00 6.642398309266924983e+00 3.703868768439025239e+00 3.845582684193797895e-01 3.370564296544821259e-01 3.388197208546548378e-01 2.127314040519698024e-01 3.823914089859015847e-02 3.429604767715120905e-01 9.998082310189945199e-01 1.063649081454503964e+01
1.056091870743237315e+01 6.635541637435268569e+01 8.530153057958540330e+01 4.770010822972979270e+01 6.160961483063375965e+01 1.237213321535422210e+02 4.741431437451138891e+02 5.204562940591789584e+02 1.221399950390732903e+00 2.144575904745363193e+00 7.750292043864271285e+00 9.147493479040814890e+00 3.247761043315204876e+00 6.645939534935517479e+00 3.696024040274899392e+00 3.822723730590166791e-01 3.384125887950888978e-01 3.406266387918713834e-01 2.144415392814106869e-01 4.560451909305172913e-02 3.413173131479202427e-01 9.999997480860673971e-01 1.064838779761538490e+01
1.056131697706677386e+01 6.632879220329382974e+01 8.529571095077305642e+01 4.771312367830037005e+01 6.161123613298202173e+01 1.237118638569650670e+02 4.741442068769915181e+02 5.204562967329077310e+02 1.210958334365246802e+00 2.185353011360651632e+00 7.748880674924855327e+00 9.126176837219253102e+00 3.243457693655600771e+00 6.634786512879164988e+00 3.699295963883653560e+00 3.824527462748096851e-01 3.362687068443026006e-01 3.404560942573964244e-01 2.139759602992050425e-01 4.176635679267833717e-02 3.411804068680865387e-01 9.995610685755301761e-01 1.065214604011850774e+01
1.056279176340925652e+01 6.633140301049870402e+01 8.530154301481310597e+01 4.771040819181439474e+01 6.162875667250469292e+01 1.237156480909516603e+02 4.741531307078324744e+02 5.204506251564951071e+02 1.208289473035979666e+00 2.205894054021928952e+00 7.740562114353643608e+00 9.134682021581513212e+00 3.242987757441446295e+00 6.625079945452040597e+00 3.690911640156269158e+00 3.879982755642414904e-01 3.328423012762268818e-01 3.424919854206223135e-01 2.130459091672429750e-01 3.673325020642596861e-02 3.437772419643534971e-01 9.997827753237242820e-01 1.064259823598602672e+01
1.057828274483478737e+01 6.631854137030958896e+01 8.529776781239820593e+01 4.771240468662741563e+01 6.164871255127818728e+01 1.236962724081679568e+02 4.741421822404929003e+02 5.204352667550492697e+02 1.211084426616616971e+00 2.257441161897424831e+00 7.724769517978957722e+00 9.127992206220875815e+00 3.243084380544539957e+00 6.623608819601555453e+00 3.707765609952772490e+00 3.861351916510358806e-01 3.357536711009612151e-01 3.424706295038015824e-01 2.122920223658550654e-01 2.520340294375678081e-02 3.429214127049844407e-01 9.999613749514657535e-01 1.065239821213013904e+01
1.058272767328277375e+01 6.630123893609054164e+01 8.529116013867393065e+01 4.771505438241039343e+01 6.164804391375871262e+01 1.236897195340767297e+02 4.741387093113320930e+02 5.204277362086020275e+02 1.210672894457533344e+00 2.290446900563750887e+00 7.702355581314357380e+00 9.118038872209476509e+00 3.252093683318642903e+00 6.627301082657669262e+00 3.732075304010201044e+00 3.854560111470443640e-01 3.336430443034890669e-01 3.422106120109437155e-01 2.085939763775236377e-01 1.986768697518945942e-02 3.433604036280564209e-01 9.985098219789260154e-01 1.065960773396144567e+01
1.059176866997605693e+01 6.628729465978791779e+01 8.528441592378830194e+01 4.770599970179007698e+01 6.165091550997721725e+01 1.236736205617781792e+02 4.741406796809031334e+02 5.204115318874646618e+02 1.204878920099740069e+00 2.339674081830329655e+00 7.684215848093708168e+00 9.123077012604820624e+00 3.249125235017880531e+00 6.629876826048440641e+00 3.745407761851021089e+00 3.826480752416939746e-01 3.371584685105511459e-01 3.378912180996043180e-01 2.086220929265467650e-01 1.565679162014103898e-02 3.428072221627875837e-01 9.993625591837747013e-01 1.066833293421651163e+01
1.058594335720253454e+01 6.627772503791958059e+01 8.529679370559287577e+01 4.771669244455123504e+01 6.165192815642797086e+01 1.236606087832341814e+02 4.741393659193413441e+02 5.203992600518107565e+02 1.204272186710974024e+00 2.383417663062711966e+00 7.666727737722819569e+00 9.122052274295564089e+00 3.254904992661162844e+00 6.627808842025637581e+00 3.754249970202389264e+00 3.847823776176836907e-01 3.324660132849178162e-01 3.404484667123889308e-01 2.049300744687008180e-01 4.638926567254086399e-03 3.438883281935602998e-01 9.997996073393502492e-01 1.067037975763604152e+01
1.057493064517634984e+01 6.628757603850306168e+01 8.528474985444564993e+01 4.770975138458211262e+01 6.165112977207823519e+01 1.236613648364799474e+02 4.741410564516228874e+02 5.204081789482017939e+02 1.195465012034828467e+00 2.375238455448424268e+00 7.667077434279489623e+00 9.113828901786597214e+00 3.251135731423850483e+00 6.623705521013210529e+00 3.759546612193470416e+00 3.834249600368426214e-01 3.342148730431843684e-01 3.422818440428765929e-01 2.084770074841194865e-01 1.927008513049642199e-02 3.424772146562857777e-01 9.998535735137671354e-01 1.067092493944353748e+01
1.058814091788651801e+01 6.628110410519722961e+01 8.526959806629275818e+01 4.769839977251351115e+01 6.165135552735289082e+01 1.236412058023703366e+02 4.741357468268116122e+02 5.204058811461686673e+02 1.191249530924166633e+00 2.453870390721353711e+00 7.636227645015415177e+00 9.092382253709571316e+00 3.245042754613473246e+00 6.623654263502042561e+00 3.774921315265867605e+00 3.798874652977221045e-01 3.390814630090098203e-01 3.370787223867705018e-01 2.058929132531362449e-01 2.247918461861259098e-03 3.417947386941136978e-01 9.988891969635997903e-01 1.068587801902624790e+01
1.059201041316799063e+01 6.625381467779665456e+01 8.525162344324689911e+01 4.771799890104154684e+01 6.166093521716667425e+01 1.236221103880180863e+02 4.741409641374042963e+02 5.203787145688727378e+02 1.185147688533541688e+00 2.538443054592349313e+00 7.604672566490238594e+00 9.095379985460407823e+00 3.246418679117426542e+00 6.619468126486971471e+00 3.797301406183535732e+00 3.843669006020723478e-01 3.296963253689242923e-01 3.436819640625031758e-01 2.031784137826682379e-01 5.413998309807026765e-04 3.432119371862263901e-01 9.983602270785433275e-01 1.069362240204126557e+01
1.059092585748086357e+01 6.624466520179845475e+01 8.524797145136227527e+01 4.771943168098328414e+01 6.167803217597877108e+01 1.236150784379964165e+02 4.741226742691823119e+02 5.203783075605398381e+02 1.189371405071835586e+00 2.561855085058596604e+00 7.591060060106401330e+00 9.116276139926574373e+00 3.236361684812995687e+00 6.618368358455636091e+00 3.800238649816754855e+00 3.871240267480224317e-01 3.323258286672854389e-01 3.436175412372156068e-01 2.080761387518711980e-01 5.023829511947142286e-03 3.440710586610282729e-01 9.994527620605877516e-01 1.070342695597122784e+01
1.059531606968317341e+01 6.622922321358208819e+01 8.524200375479492209e+01 4.772538963964350955e+01 6.167406392501550982e+01 1.236110985361688250e+02 4.741226508855597785e+02 5.203784556279820208e+02 1.192418131229859624e+00 2.596896508230515543e+00 7.578299892251125769e+00 9.102946502350093283e+00 3.231497443320817453e+00 6.624954585602160329e+00 3.795498897774934211e+00 3.843271688949043141e-01 3.361574935914127815e-01 3.408026010261790972e-01 2.078084582316082618e-01 2.317843305116850934e-04 3.434582365260276382e-01 9.991757644888832335e-01 1.070126521847670276e+01
1.058464986633230964e+01 6.625081941342722303e+01 8.525448648161699339e+01 4.772730398896468529e+01 6.166633800063358706e+01 1.236132346814572287e+02 4.741138927481884480e+02 5.203859393444267880e+02 1.199035104918354522e+00 2.521516585121010845e+00 7.595953474187960630e+00 9.092374281984955786e+00 3.231250062999917461e+00 6.629100699467260327e+00 3.795293510436073436e+00 3.846257028031153102e-01 3.346049751176626841e-01 3.430213596607687432e-01 2.073531093249635082e-01 2.438838210285427827e-05 3.430883662967748049e-01 9.999235377062803964e-01 1.070343949430845321e+01
1.058865456148173578e+01 6.624598710918444056e+01 8.526529817649188203e+01 4.772655353897922481e+01 6.166619079178028073e+01 1.236123789497755041e+02 4.741072021535765089e+02 5.203846293217442280e+02 1.193382599348812523e+00 2.536936966120634906e+00 7.583689141788652499e+00 9.102194271087586941e+00 3.249615365133562417e+00 6.630108301267980231e+00 3.803647143639831807e+00 3.851165511732004831e-01 3.330686868878780516e-01 3.444521368807824668e-01 2.059111004728912397e-01 4.131861232784083370e-03 3.436447529686766922e-01 9.993853477140078878e-01 1.070252553413277141e+01
1.059169173133805764e+01 6.623221232931923907e+01 8.525623930669473793e+01 4.771072575444239305e+01 6.166535259938057578e+01 1.236301298856649566e+02 4.740964345191497955e+02 5.203847730248201060e+02 1.198950520128387875e+00 2.539006980305817063e+00 7.584511436475541046e+00 9.118922855735535293e+00 3.245896400731958398e+00 6.637142431996507774e+00 3.817589989131102257e+00 3.879579084743571271e-01 3.322902306737862133e-01 3.440349477162909508e-01 2.091353649439232076e-01 3.958227132738557918e-03 3.445351973031109960e-01 9.986474736828130361e-01 1.068833508469284510e+01
1.058910547796536328e+01 6.622489291116116306e+01 8.524258768780478590e+01 4.771635474751885653e+01 6.166640686496961621e+01 1.236326796323396451e+02 4.740960100498646170e+02 5.203803057966111965e+02 1.215478330787502337e+00 2.543163968893736637e+00 7.580038224493533150e+00 9.110577214202008278e+00 3.241553229862689900e+00 6.648132379365095268e+00 3.818157958170049326e+00 3.846130353505100019e-01 3.368449540436277978e-01 3.378774975926425173e-01 2.071467500658507321e-01 3.446934836292938134e-04 3.446656593882351793e-01 9.997285953477434983e-01 1.068906898525865046e+01
