ts0__FREE	ts1__FREE	ts2__FREE	ts3__FREE	ts4__FREE	ts5__FREE	theta0__FREE	theta1__FREE	y0__FREE	y1__FREE	lambda0__FREE	lambda1__FREE	lambda2__FREE	lambda3__FREE	lambda4__FREE	p0__FREE	p1__FREE	p2__FREE	p3__FREE	p4__FREE	beta__FREE	fD__FREE	r__FREE
3.394245162711162322e+01 2.872010435815152718e+01 8.373138896876920967e+01 8.485377898338069258e+01 5.396017725635541495e+00 1.594239847657253222e+02 4.940813424455253653e+02 5.242808040554459694e+02 1.379391530037494151e+00 2.251154702369202898e+00 2.272952471436707089e+00 9.412014659736120947e+00 9.357123943738463012e+00 1.219530188892658629e+00 8.644443937150182222e+00 5.264379693112067882e-01 6.627420152704718292e-01 4.335057992627416312e-01 4.098917122407066960e-01 1.740735034990834595e-01 1.081631711848517696e+00 9.997205441938646908e-01 3.131729556294614303e-02
3.393865405670341318e+01 2.870265015196801883e+01 8.372381031771369919e+01 8.484043293225261095e+01 5.424334323687178383e+00 1.594551434133249472e+02 4.940828512391571508e+02 5.242930113526221021e+02 1.395724501644449500e+00 2.231084680761835859e+00 2.221605975450093418e+00 9.415781621782436162e+00 9.369877525503284232e+00 1.212513479040770559e+00 8.672454209705350081e+00 5.376584357281852800e-01 6.682861893070423109e-01 3.664260373051951292e-01 4.154630175200385023e-01 1.644017724270436520e-01 1.121357322395330147e+00 9.991793427076335332e-01 2.986665745742247621e-02
3.393755028384659056e+01 2.865462567486809320e+01 8.370224039322657461e+01 8.484716788893366868e+01 5.480744795354282495e+00 1.594943752640315324e+02 4.941044453711512574e+02 5.242861238647680011e+02 1.378480645315736552e+00 2.177416447415655654e+00 2.159050801841257972e+00 9.409330320088193034e+00 9.417901875001255974e+00 1.240731121081585453e+00 8.715600137003489678e+00 5.617914673871953202e-01 6.895890718743743486e-01 3.166182037577691677e-01 4.211471544900647346e-01 1.526881047252327539e-01 1.227986863444650467e+00 9.911052973265228605e-01 3.231312511359578366e-02
3.392147020581592187e+01 2.863512446704669756e+01 8.367918691670600140e+01 8.483205324426710092e+01 5.537305126054724802e+00 1.594998388143633292e+02 4.941246038111694929e+02 5.243089587667698197e+02 1.393079213823005702e+00 2.146470711019944133e+00 2.067217247686503612e+00 9.414439067777266246e+00 9.426060069349126991e+00 1.260964695030441618e+00 8.790862881906654991e+00 5.845429044997620949e-01 6.848685057220194050e-01 2.098520205180766929e-01 4.114030941036631583e-01 1.307185265749965797e-01 1.327893924941868420e+00 9.991797318130439809e-01 3.350473746976762729e-02
3.389080896726534320e+01 2.862940253782503675e+01 8.371869090857363460e+01 8.483159134674114910e+01 5.585095230534249389e+00 1.594928215074599791e+02 4.941500126515185798e+02 5.242907876530483691e+02 1.384223280344211382e+00 2.131789660387080509e+00 2.049961762773150120e+00 9.389359446367073758e+00 9.454461327718904684e+00 1.284673703215437612e+00 8.765040786361760539e+00 5.910954962642501753e-01 6.899071232721025737e-01 2.058584430699440804e-01 4.290306225548586871e-01 1.878122107252176709e-01 1.358085957209966610e+00 9.939665000920163695e-01 3.230580847702742286e-02
3.385563485284653495e+01 2.859506751381127643e+01 8.367628399646551429e+01 8.481236513649645303e+01 5.631822257146533062e+00 1.595255274293408263e+02 4.941609497357924283e+02 5.242728336431259777e+02 1.401313450705069297e+00 2.100103479545919694e+00 2.008360388717838951e+00 9.431599772944782245e+00 9.484634202181643658e+00 1.287574909481603136e+00 8.790374670481797992e+00 6.121718751565974337e-01 6.959536904168270866e-01 1.174493249516252724e-01 4.318863416451698134e-01 1.917122307737114117e-01 1.469442448044621985e+00 9.981490658379266190e-01 3.605021819959582791e-02
3.383486493366385872e+01 2.855018054901220736e+01 8.366961907104570173e+01 8.479327149231836813e+01 5.714312112572913271e+00 1.595582596745919375e+02 4.941511578046370232e+02 5.242581938599355453e+02 1.396329191460244035e+00 2.043654718612608168e+00 1.909829552240825068e+00 9.445024480562008051e+00 9.529435827698819139e+00 1.270734665298807853e+00 8.815348496877629003e+00 6.324857576539133497e-01 7.083239063203158326e-01 2.292425162364643623e-02 4.523678043718480923e-01 2.053828322553772345e-01 1.584832194397312044e+00 9.989436671670649526e-01 3.499292168592319646e-02
3.381647535100926660e+01 2.853998250834179728e+01 8.364757166195151683e+01 8.478499703597202597e+01 5.722476476571385362e+00 1.595531378770945992e+02 4.941551331922146915e+02 5.242585020969378320e+02 1.397746496854896048e+00 2.064813734372323850e+00 1.891909312562350287e+00 9.461894429519571048e+00 9.569396411555183946e+00 1.267564363222812851e+00 8.810643586098978020e+00 6.382351992643631178e-01 7.144749424025488294e-01 1.777271448831492517e-02 4.701804864092625214e-01 2.597244076110244437e-01 1.619950034300638553e+00 9.994836615844325811e-01 3.651444382553303836e-02
3.378936121476384358e+01 2.851289382600132072e+01 8.361485252942506463e+01 8.477673258737546291e+01 5.782862821999326997e+00 1.595657699776880634e+02 4.941420308270523947e+02 5.242511371897115851e+02 1.407308905836441415e+00 2.020972512896403117e+00 1.823701875024807961e+00 9.502982290034470481e+00 9.585725233387146105e+00 1.270215982965479329e+00 8.827332782382319110e+00 6.492975384156721708e-01 7.243868242682044434e-01 9.514799455112056548e-05 4.942699880943905444e-01 2.927127495442359284e-01 1.689084742031331521e+00 9.997498431697917631e-01 3.737116853068636613e-02
3.378559917437488735e+01 2.849568973328883104e+01 8.363065158128645749e+01 8.476312595234674063e+01 5.818806937594823481e+00 1.595520349573804708e+02 4.941434406782905171e+02 5.242420312757515148e+02 1.413198426793731199e+00 2.009474650586157818e+00 1.768233714437020820e+00 9.511351890051658486e+00 9.574061274764472884e+00 1.268145833515824883e+00 8.829022808944609224e+00 6.543206705406375834e-01 7.228357775297524768e-01 9.644913660326871058e-03 4.987523391900987035e-01 3.217727295333062121e-01 1.716097350643867481e+00 9.985741694573985194e-01 3.698413054371368219e-02
